,Community,month,year,Street_lights
3200,44,2,2010,1
3201,44,2,2011,14
3202,44,2,2012,12
3203,44,2,2013,19
3204,44,2,2014,7
3205,44,2,2015,5
3206,44,2,2016,10
3207,44,2,2017,7
3208,44,2,2018,9
3209,44,3,2010,11
3210,44,3,2011,21
3211,44,3,2012,20
3212,44,3,2013,20
3213,44,3,2014,5
3214,44,3,2015,14
3215,44,3,2016,12
3216,44,3,2017,8
3217,44,3,2018,9
3218,44,4,2008,1
3219,44,4,2010,9
3220,44,4,2011,26
3221,44,4,2012,24
3222,44,4,2013,19
3223,44,4,2014,14
3224,44,4,2015,17
3225,44,4,2016,16
3226,44,4,2017,14
3227,44,4,2018,19
3228,44,5,2009,1
3229,44,5,2010,20
3230,44,5,2011,26
3231,44,5,2012,18
3232,44,5,2013,23
3233,44,5,2014,8
3234,44,5,2015,19
3235,44,5,2016,22
3236,44,5,2017,18
3237,44,5,2018,11
3238,44,6,2010,12
3239,44,6,2011,22
3240,44,6,2012,18
3241,44,6,2013,16
3242,44,6,2014,13
3243,44,6,2015,19
3244,44,6,2016,15
3245,44,6,2017,10
3246,44,6,2018,13
3247,44,7,2010,31
3248,44,7,2011,24
3249,44,7,2012,22
3250,44,7,2013,25
3251,44,7,2014,24
3252,44,7,2015,12
3253,44,7,2016,13
3254,44,7,2017,2
3255,44,7,2018,12
3256,44,8,2009,2
3257,44,8,2010,26
3258,44,8,2011,27
3259,44,8,2012,30
3260,44,8,2013,25
3261,44,8,2014,16
3262,44,8,2015,18
3263,44,8,2016,15
3264,44,8,2017,10
3265,44,8,2018,12
3266,44,9,2009,2
3267,44,9,2010,12
3268,44,9,2011,16
3269,44,9,2012,16
3270,44,9,2013,7
3271,44,9,2014,15
3272,44,9,2015,11
3273,44,9,2016,11
3274,44,9,2017,13
3275,44,9,2018,18
3276,44,10,2009,1
3277,44,10,2010,19
3278,44,10,2011,28
3279,44,10,2012,11
3280,44,10,2013,10
3281,44,10,2014,12
3282,44,10,2015,10
3283,44,10,2016,8
3284,44,10,2017,15
3285,44,10,2018,4
3286,44,11,2008,1
3287,44,11,2010,7
3288,44,11,2011,27
3289,44,11,2012,13
3290,44,11,2013,10
3291,44,11,2014,11
3292,44,11,2015,15
3293,44,11,2016,4
3294,44,11,2017,7
3295,44,12,2010,8
3296,44,12,2011,20
3297,44,12,2012,12
3298,44,12,2013,5
3299,44,12,2014,21
3300,44,12,2015,11
3301,44,12,2016,3
3302,44,12,2017,5
3303,45,1,2011,5
3304,45,1,2012,3
3305,45,1,2013,1
3306,45,1,2014,4
3307,45,1,2015,1
3308,45,1,2016,2
3309,45,1,2017,5
3310,45,1,2018,2
3311,45,2,2010,1
3312,45,2,2011,6
3313,45,2,2012,9
3314,45,2,2013,4
3315,45,2,2014,1
3316,45,2,2015,2
3317,45,2,2016,3
3318,45,2,2017,6
3319,45,2,2018,1
3320,45,3,2010,1
3321,45,3,2011,7
3322,45,3,2012,9
3323,45,3,2013,7
3324,45,3,2014,4
3325,45,3,2015,5
3326,45,3,2016,3
3327,45,3,2017,2
3328,45,3,2018,3
3329,45,4,2010,2
3330,45,4,2011,8
