,Community,month,year,Sanitation_request
6178,67.0,9,2012,79
6179,67.0,9,2013,57
6180,67.0,9,2014,25
6181,67.0,9,2015,33
6182,67.0,9,2016,32
6183,67.0,9,2017,27
6184,67.0,9,2018,57
6185,67.0,10,2010,1
6186,67.0,10,2011,48
6187,67.0,10,2012,44
6188,67.0,10,2013,34
6189,67.0,10,2014,37
6190,67.0,10,2015,18
6191,67.0,10,2016,41
6192,67.0,10,2017,23
6193,67.0,10,2018,39
6194,67.0,11,2011,31
6195,67.0,11,2012,19
6196,67.0,11,2013,24
6197,67.0,11,2014,18
6198,67.0,11,2015,14
6199,67.0,11,2016,21
6200,67.0,11,2017,19
6201,67.0,12,2010,4
6202,67.0,12,2011,50
6203,67.0,12,2012,23
6204,67.0,12,2013,3
6205,67.0,12,2014,20
6206,67.0,12,2015,11
6207,67.0,12,2016,7
6208,67.0,12,2017,18
6209,68.0,1,2000,4
6210,68.0,1,2011,15
6211,68.0,1,2012,28
6212,68.0,1,2013,20
6213,68.0,1,2014,3
6214,68.0,1,2015,8
6215,68.0,1,2016,19
6216,68.0,1,2017,51
6217,68.0,1,2018,15
6218,68.0,2,2000,2
6219,68.0,2,2011,23
6220,68.0,2,2012,33
6221,68.0,2,2013,7
6222,68.0,2,2014,18
6223,68.0,2,2015,10
6224,68.0,2,2016,25
6225,68.0,2,2017,32
6226,68.0,2,2018,8
6227,68.0,3,2011,65
6228,68.0,3,2012,43
6229,68.0,3,2013,28
6230,68.0,3,2014,43
6231,68.0,3,2015,35
6232,68.0,3,2016,37
6233,68.0,3,2017,25
6234,68.0,3,2018,31
6235,68.0,4,2011,47
6236,68.0,4,2012,47
6237,68.0,4,2013,46
6238,68.0,4,2014,45
6239,68.0,4,2015,28
6240,68.0,4,2016,37
6241,68.0,4,2017,25
6242,68.0,4,2018,45
6243,68.0,5,2011,68
6244,68.0,5,2012,47
6245,68.0,5,2013,43
6246,68.0,5,2014,28
6247,68.0,5,2015,45
6248,68.0,5,2016,37
6249,68.0,5,2017,63
6250,68.0,5,2018,38
6251,68.0,6,2011,52
6252,68.0,6,2012,40
6253,68.0,6,2013,28
6254,68.0,6,2014,42
6255,68.0,6,2015,50
6256,68.0,6,2016,47
6257,68.0,6,2017,45
6258,68.0,6,2018,52
6259,68.0,7,2011,45
6260,68.0,7,2012,52
6261,68.0,7,2013,45
6262,68.0,7,2014,45
6263,68.0,7,2015,56
6264,68.0,7,2016,73
6265,68.0,7,2017,68
6266,68.0,7,2018,60
6267,68.0,8,2011,62
6268,68.0,8,2012,67
6269,68.0,8,2013,44
6270,68.0,8,2014,27
6271,68.0,8,2015,43
6272,68.0,8,2016,42
6273,68.0,8,2017,63
6274,68.0,8,2018,57
6275,68.0,9,2011,29
6276,68.0,9,2012,73
6277,68.0,9,2013,40
6278,68.0,9,2014,35
6279,68.0,9,2015,27
6280,68.0,9,2016,47
6281,68.0,9,2017,28
6282,68.0,9,2018,44
6283,68.0,10,2011,17
6284,68.0,10,2012,40
6285,68.0,10,2013,32
6286,68.0,10,2014,22
6287,68.0,10,2015,24
6288,68.0,10,2016,55
6289,68.0,10,2017,28
6290,68.0,10,2018,16
6291,68.0,11,2011,15
6292,68.0,11,2012,27
6293,68.0,11,2013,15
6294,68.0,11,2014,6
6295,68.0,11,2015,7
6296,68.0,11,2016,36
6297,68.0,11,2017,32
6298,68.0,12,2010,2
6299,68.0,12,2011,30
6300,68.0,12,2012,14
6301,68.0,12,2013,4
6302,68.0,12,2014,14
6303,68.0,12,2015,7
6304,68.0,12,2016,22
6305,68.0,12,2017,13
6306,69.0,1,2011,27
6307,69.0,1,2012,15
6308,69.0,1,2013,22
6309,69.0,1,2014,12
6310,69.0,1,2015,17
6311,69.0,1,2016,11
6312,69.0,1,2017,25
6313,69.0,1,2018,17
6314,69.0,2,2011,41
6315,69.0,2,2012,48
6316,69.0,2,2013,20
6317,69.0,2,2014,26
6318,69.0,2,2015,13
6319,69.0,2,2016,32
6320,69.0,2,2017,35
6321,69.0,2,2018,24
6322,69.0,3,2011,59
6323,69.0,3,2012,52
6324,69.0,3,2013,28
6325,69.0,3,2014,57
6326,69.0,3,2015,58
6327,69.0,3,2016,33
