,Community,Year,Count
984,55,2002,712
985,55,2003,1062
986,55,2004,993
987,55,2005,922
988,55,2006,964
989,55,2007,858
990,55,2008,957
991,55,2009,807
992,55,2010,765
993,55,2011,822
994,55,2012,739
995,55,2013,714
996,55,2014,623
997,55,2015,503
998,55,2016,582
999,55,2017,662
1000,55,2018,483
1001,56,2001,37
1002,56,2002,3550
1003,56,2003,4441
1004,56,2004,4505
1005,56,2005,4080
1006,56,2006,4196
1007,56,2007,3973
1008,56,2008,3597
1009,56,2009,3235
1010,56,2010,2584
1011,56,2011,2548
1012,56,2012,2461
1013,56,2013,2102
1014,56,2014,1920
1015,56,2015,1778
1016,56,2016,2095
1017,56,2017,1900
1018,56,2018,1585
1019,57,2001,13
1020,57,2002,1125
1021,57,2003,1614
1022,57,2004,1598
1023,57,2005,1603
1024,57,2006,1634
1025,57,2007,1725
1026,57,2008,1555
1027,57,2009,1631
1028,57,2010,1356
1029,57,2011,1284
1030,57,2012,1195
1031,57,2013,1198
1032,57,2014,1049
1033,57,2015,981
1034,57,2016,878
1035,57,2017,836
1036,57,2018,610
1037,58,2001,44
1038,58,2002,3291
1039,58,2003,4859
1040,58,2004,4701
1041,58,2005,4395
1042,58,2006,4612
1043,58,2007,4199
1044,58,2008,4116
1045,58,2009,3828
1046,58,2010,3528
1047,58,2011,3708
1048,58,2012,3186
1049,58,2013,2890
1050,58,2014,2895
1051,58,2015,2707
1052,58,2016,2624
1053,58,2017,2192
1054,58,2018,1647
1055,59,2001,17
1056,59,2002,1521
1057,59,2003,2068
1058,59,2004,2075
1059,59,2005,1896
1060,59,2006,1997
1061,59,2007,1786
1062,59,2008,1768
1063,59,2009,1727
1064,59,2010,1483
1065,59,2011,1428
1066,59,2012,1339
1067,59,2013,1276
1068,59,2014,1053
1069,59,2015,1064
1070,59,2016,1033
1071,59,2017,1039
1072,59,2018,713
1073,60,2001,21
1074,60,2002,2363
1075,60,2003,3217
1076,60,2004,3114
1077,60,2005,3111
1078,60,2006,2959
1079,60,2007,2601
1080,60,2008,2626
1081,60,2009,2498
1082,60,2010,2446
1083,60,2011,2326
1084,60,2012,2163
1085,60,2013,1890
1086,60,2014,1797
1087,60,2015,1587
1088,60,2016,1677
1089,60,2017,1476
1090,60,2018,1140
1091,61,2001,67
1092,61,2002,7617
1093,61,2003,10765
1094,61,2004,10075
1095,61,2005,9585
1096,61,2006,9995
1097,61,2007,9694
1098,61,2008,8847
1099,61,2009,8060
1100,61,2010,7736
1101,61,2011,7723
1102,61,2012,6808
1103,61,2013,5989
1104,61,2014,5243
1105,61,2015,4833
1106,61,2016,4912
1107,61,2017,4604
1108,61,2018,3288
1109,62,2001,11
1110,62,2002,1340
1111,62,2003,1787
1112,62,2004,1708
1113,62,2005,1610
1114,62,2006,1735
1115,62,2007,1674
1116,62,2008,1709
1117,62,2009,1605
1118,62,2010,1395
1119,62,2011,1484
1120,62,2012,1367
1121,62,2013,1291
1122,62,2014,1010
1123,62,2015,1031
1124,62,2016,1096
1125,62,2017,1010
1126,62,2018,799
1127,63,2001,40
1128,63,2002,3026
