,Community,month,year,Street_lights
3005,31,1,2017,95
3006,31,1,2018,110
3007,31,2,2011,25
3008,31,2,2012,27
3009,31,2,2013,11
3010,31,2,2014,11
3011,31,2,2015,40
3012,31,2,2016,62
3013,31,2,2017,81
3014,31,2,2018,38
3015,31,3,2011,45
3016,31,3,2012,59
3017,31,3,2013,3
3018,31,3,2014,26
3019,31,3,2015,26
3020,31,3,2016,98
3021,31,3,2017,113
3022,31,3,2018,51
3023,31,4,2011,14
3024,31,4,2012,11
3025,31,4,2013,6
3026,31,4,2014,20
3027,31,4,2015,62
3028,31,4,2016,61
3029,31,4,2017,82
3030,31,4,2018,40
3031,31,5,2011,13
3032,31,5,2012,11
3033,31,5,2013,9
3034,31,5,2014,69
3035,31,5,2015,86
3036,31,5,2016,92
3037,31,5,2017,137
3038,31,5,2018,64
3039,31,6,2011,28
3040,31,6,2012,20
3041,31,6,2013,9
3042,31,6,2014,89
3043,31,6,2015,148
3044,31,6,2016,113
3045,31,6,2017,85
3046,31,6,2018,100
3047,31,7,2011,40
3048,31,7,2012,11
3049,31,7,2013,31
3050,31,7,2014,146
3051,31,7,2015,67
3052,31,7,2016,247
3053,31,7,2017,140
3054,31,7,2018,51
3055,31,8,2010,1
3056,31,8,2011,48
3057,31,8,2012,16
3058,31,8,2013,44
3059,31,8,2014,121
3060,31,8,2015,154
3061,31,8,2016,132
3062,31,8,2017,153
3063,31,8,2018,90
3064,31,9,2011,29
3065,31,9,2012,25
3066,31,9,2013,21
3067,31,9,2014,150
3068,31,9,2015,60
3069,31,9,2016,232
3070,31,9,2017,37
3071,31,9,2018,111
3072,31,10,2010,1
3073,31,10,2011,51
3074,31,10,2012,34
3075,31,10,2013,23
3076,31,10,2014,58
3077,31,10,2015,196
3078,31,10,2016,170
3079,31,10,2017,142
3080,31,10,2018,131
3081,31,11,2010,4
3082,31,11,2011,34
3083,31,11,2012,19
3084,31,11,2013,25
3085,31,11,2014,34
3086,31,11,2015,220
3087,31,11,2016,143
3088,31,11,2017,178
3089,31,12,2010,17
3090,31,12,2011,27
3091,31,12,2012,25
3092,31,12,2013,14
3093,31,12,2014,44
3094,31,12,2015,85
3095,31,12,2016,101
3096,31,12,2017,96
3097,32,1,2011,18
3098,32,1,2012,16
3099,32,1,2013,49
3100,32,1,2014,10
3101,32,1,2015,20
3102,32,1,2016,77
3103,32,1,2017,56
3104,32,1,2018,46
3105,32,2,2011,13
3106,32,2,2012,24
3107,32,2,2013,97
3108,32,2,2014,16
3109,32,2,2015,22
3110,32,2,2016,29
3111,32,2,2017,59
3112,32,2,2018,75
3113,32,3,2011,20
3114,32,3,2012,15
3115,32,3,2013,27
3116,32,3,2014,178
3117,32,3,2015,29
3118,32,3,2016,25
3119,32,3,2017,37
3120,32,3,2018,32
3121,32,4,2011,33
3122,32,4,2012,11
3123,32,4,2013,31
3124,32,4,2014,41
3125,32,4,2015,110
3126,32,4,2016,159
3127,32,4,2017,50
3128,32,4,2018,26
3129,32,5,2011,18
3130,32,5,2012,59
3131,32,5,2013,11
3132,32,5,2014,21
3133,32,5,2015,30
3134,32,5,2016,42
3135,32,5,2017,53
3136,32,5,2018,32
3137,32,6,2010,1
3138,32,6,2011,29
3139,32,6,2012,19
3140,32,6,2013,18
3141,32,6,2014,19
3142,32,6,2015,46
3143,32,6,2016,38
3144,32,6,2017,152
3145,32,6,2018,45
3146,32,7,2011,21
3147,32,7,2012,7
3148,32,7,2013,7
3149,32,7,2014,32
3150,32,7,2015,67
3151,32,7,2016,74
3152,32,7,2017,39
3153,32,7,2018,57
3154,32,8,2011,13
3155,32,8,2012,16
3156,32,8,2013,15
